pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_1.xtc,0.0,9e-07
6.50,pH_6.50pH_6.50_1.xtc,100.0,0.1364437
6.50,pH_6.50pH_6.50_1.xtc,200.0,0.1331941
6.50,pH_6.50pH_6.50_1.xtc,300.0,0.1734069
6.50,pH_6.50pH_6.50_1.xtc,400.0,0.2255297
6.50,pH_6.50pH_6.50_1.xtc,500.0,0.1878817
6.50,pH_6.50pH_6.50_1.xtc,600.0,0.1622786
6.50,pH_6.50pH_6.50_1.xtc,700.0,0.1755916
6.50,pH_6.50pH_6.50_1.xtc,800.0,0.2056775
6.50,pH_6.50pH_6.50_1.xtc,900.0,0.2291628
6.50,pH_6.50pH_6.50_1.xtc,1000.0,0.2004191
6.50,pH_6.50pH_6.50_2.xtc,0.0,0.2004191
6.50,pH_6.50pH_6.50_2.xtc,100.0,0.181568
6.50,pH_6.50pH_6.50_2.xtc,200.0,0.1895669
6.50,pH_6.50pH_6.50_2.xtc,300.0,0.1929474
6.50,pH_6.50pH_6.50_2.xtc,400.0,0.2525526
6.50,pH_6.50pH_6.50_2.xtc,500.0,0.2010688
6.50,pH_6.50pH_6.50_2.xtc,600.0,0.2087667
6.50,pH_6.50pH_6.50_2.xtc,700.0,0.2029021
6.50,pH_6.50pH_6.50_2.xtc,800.0,0.1680624
6.50,pH_6.50pH_6.50_2.xtc,900.0,0.1792184
6.50,pH_6.50pH_6.50_2.xtc,1000.0,0.1811438
6.50,pH_6.50pH_6.50_3.xtc,0.0,0.1811438
6.50,pH_6.50pH_6.50_3.xtc,100.0,0.1954793
6.50,pH_6.50pH_6.50_3.xtc,200.0,0.1805113
6.50,pH_6.50pH_6.50_3.xtc,300.0,0.1991319
6.50,pH_6.50pH_6.50_3.xtc,400.0,0.1951292
6.50,pH_6.50pH_6.50_3.xtc,500.0,0.1933545
6.50,pH_6.50pH_6.50_3.xtc,600.0,0.214003
6.50,pH_6.50pH_6.50_3.xtc,700.0,0.2660602
6.50,pH_6.50pH_6.50_3.xtc,800.0,0.2246494
6.50,pH_6.50pH_6.50_3.xtc,900.0,0.2346967
6.50,pH_6.50pH_6.50_3.xtc,1000.0,0.1952723
6.50,pH_6.50pH_6.50_4.xtc,0.0,0.1952723
6.50,pH_6.50pH_6.50_4.xtc,100.0,0.2324084
6.50,pH_6.50pH_6.50_4.xtc,200.0,0.2094849
6.50,pH_6.50pH_6.50_4.xtc,300.0,0.1930281
6.50,pH_6.50pH_6.50_4.xtc,400.0,0.2609178
6.50,pH_6.50pH_6.50_4.xtc,500.0,0.2249974
6.50,pH_6.50pH_6.50_4.xtc,600.0,0.2121089
6.50,pH_6.50pH_6.50_4.xtc,700.0,0.2096697
6.50,pH_6.50pH_6.50_4.xtc,800.0,0.2041273
6.50,pH_6.50pH_6.50_4.xtc,900.0,0.2294324
6.50,pH_6.50pH_6.50_4.xtc,1000.0,0.2379476
6.50,pH_6.50pH_6.50_5.xtc,0.0,0.2379476
6.50,pH_6.50pH_6.50_5.xtc,100.0,0.2985606
6.50,pH_6.50pH_6.50_5.xtc,200.0,0.3040407
6.50,pH_6.50pH_6.50_5.xtc,300.0,0.2775636
6.50,pH_6.50pH_6.50_5.xtc,400.0,0.2939526
6.50,pH_6.50pH_6.50_5.xtc,500.0,0.3167253
6.50,pH_6.50pH_6.50_5.xtc,600.0,0.3301077
6.50,pH_6.50pH_6.50_5.xtc,700.0,0.2159937
6.50,pH_6.50pH_6.50_5.xtc,800.0,0.2269442
6.50,pH_6.50pH_6.50_5.xtc,900.0,0.2088314
6.50,pH_6.50pH_6.50_5.xtc,1000.0,0.334354
6.50,pH_6.50pH_6.50_6.xtc,0.0,0.334354
6.50,pH_6.50pH_6.50_6.xtc,100.0,0.29879
6.50,pH_6.50pH_6.50_6.xtc,200.0,0.2581201
6.50,pH_6.50pH_6.50_6.xtc,300.0,0.2802201
6.50,pH_6.50pH_6.50_6.xtc,400.0,0.2987097
6.50,pH_6.50pH_6.50_6.xtc,500.0,0.255154
6.50,pH_6.50pH_6.50_6.xtc,600.0,0.2633773
6.50,pH_6.50pH_6.50_6.xtc,700.0,0.3166028
6.50,pH_6.50pH_6.50_6.xtc,800.0,0.254012
6.50,pH_6.50pH_6.50_6.xtc,900.0,0.2594672
6.50,pH_6.50pH_6.50_6.xtc,1000.0,0.2215174
6.50,pH_6.50pH_6.50_7.xtc,0.0,0.2215174
6.50,pH_6.50pH_6.50_7.xtc,100.0,0.2651183
6.50,pH_6.50pH_6.50_7.xtc,200.0,0.2755446
6.50,pH_6.50pH_6.50_7.xtc,300.0,0.2491303
6.50,pH_6.50pH_6.50_7.xtc,400.0,0.2675331
6.50,pH_6.50pH_6.50_7.xtc,500.0,0.2619088
6.50,pH_6.50pH_6.50_7.xtc,600.0,0.2809666
6.50,pH_6.50pH_6.50_7.xtc,700.0,0.2480593
6.50,pH_6.50pH_6.50_7.xtc,800.0,0.2727154
6.50,pH_6.50pH_6.50_7.xtc,900.0,0.2952912
6.50,pH_6.50pH_6.50_7.xtc,1000.0,0.2750305
6.50,pH_6.50pH_6.50_8.xtc,0.0,0.2750305
6.50,pH_6.50pH_6.50_8.xtc,100.0,0.2074014
6.50,pH_6.50pH_6.50_8.xtc,200.0,0.2511623
