pH,xtc_file,avg_hbonds
6.50,pH_6.50pH_6.50_1.xtc,147.45454545454547
6.50,pH_6.50pH_6.50_2.xtc,152.27272727272728
6.50,pH_6.50pH_6.50_3.xtc,150.27272727272728
6.50,pH_6.50pH_6.50_4.xtc,156.54545454545453
6.50,pH_6.50pH_6.50_5.xtc,152.9090909090909
6.50,pH_6.50pH_6.50_6.xtc,156.0
6.50,pH_6.50pH_6.50_7.xtc,151.0909090909091
6.50,pH_6.50pH_6.50_8.xtc,151.9090909090909
6.50,pH_6.50pH_6.50_9.xtc,150.45454545454547
6.50,pH_6.50pH_6.50_10.xtc,146.8181818181818
6.50,pH_6.50pH_6.50_11.xtc,149.36363636363637
6.50,pH_6.50pH_6.50_12.xtc,144.0909090909091
6.50,pH_6.50pH_6.50_13.xtc,149.63636363636363
6.50,pH_6.50pH_6.50_14.xtc,150.1818181818182
6.50,pH_6.50pH_6.50_15.xtc,150.27272727272728
6.50,pH_6.50pH_6.50_16.xtc,144.72727272727272
6.50,pH_6.50pH_6.50_17.xtc,144.1818181818182
6.50,pH_6.50pH_6.50_18.xtc,145.8181818181818
6.50,pH_6.50pH_6.50_19.xtc,150.0909090909091
6.50,pH_6.50pH_6.50_20.xtc,148.54545454545453
7.00,pH_7.00pH_7.00_1.xtc,150.9090909090909
7.00,pH_7.00pH_7.00_2.xtc,148.0
7.00,pH_7.00pH_7.00_3.xtc,153.72727272727272
7.00,pH_7.00pH_7.00_4.xtc,151.27272727272728
7.00,pH_7.00pH_7.00_5.xtc,151.9090909090909
7.00,pH_7.00pH_7.00_6.xtc,151.72727272727272
7.00,pH_7.00pH_7.00_7.xtc,150.0
7.00,pH_7.00pH_7.00_8.xtc,152.36363636363637
7.00,pH_7.00pH_7.00_9.xtc,151.8181818181818
7.00,pH_7.00pH_7.00_10.xtc,150.54545454545453
7.00,pH_7.00pH_7.00_11.xtc,151.8181818181818
7.00,pH_7.00pH_7.00_12.xtc,153.63636363636363
7.00,pH_7.00pH_7.00_13.xtc,154.0909090909091
7.00,pH_7.00pH_7.00_14.xtc,160.63636363636363
7.00,pH_7.00pH_7.00_15.xtc,157.0
7.00,pH_7.00pH_7.00_16.xtc,154.36363636363637
7.00,pH_7.00pH_7.00_17.xtc,158.72727272727272
7.00,pH_7.00pH_7.00_18.xtc,159.54545454545453
7.00,pH_7.00pH_7.00_19.xtc,160.0909090909091
7.00,pH_7.00pH_7.00_20.xtc,160.54545454545453
7.50,pH_7.50pH_7.50_1.xtc,148.36363636363637
7.50,pH_7.50pH_7.50_2.xtc,152.27272727272728
7.50,pH_7.50pH_7.50_3.xtc,145.72727272727272
7.50,pH_7.50pH_7.50_4.xtc,147.45454545454547
7.50,pH_7.50pH_7.50_5.xtc,148.45454545454547
7.50,pH_7.50pH_7.50_6.xtc,149.54545454545453
7.50,pH_7.50pH_7.50_7.xtc,149.1818181818182
7.50,pH_7.50pH_7.50_8.xtc,149.54545454545453
7.50,pH_7.50pH_7.50_9.xtc,152.9090909090909
7.50,pH_7.50pH_7.50_10.xtc,154.9090909090909
7.50,pH_7.50pH_7.50_11.xtc,154.27272727272728
7.50,pH_7.50pH_7.50_12.xtc,155.54545454545453
7.50,pH_7.50pH_7.50_13.xtc,152.1818181818182
7.50,pH_7.50pH_7.50_14.xtc,153.36363636363637
7.50,pH_7.50pH_7.50_15.xtc,146.36363636363637
7.50,pH_7.50pH_7.50_16.xtc,145.72727272727272
