pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_1.xtc,0.0,0.2982778
6.50,pH_6.50pH_6.50_1.xtc,100.0,0.3457376
6.50,pH_6.50pH_6.50_1.xtc,200.0,0.3094345
6.50,pH_6.50pH_6.50_1.xtc,300.0,0.3560044
6.50,pH_6.50pH_6.50_1.xtc,400.0,0.4544992
6.50,pH_6.50pH_6.50_1.xtc,500.0,0.3500641
6.50,pH_6.50pH_6.50_1.xtc,600.0,0.3332318
6.50,pH_6.50pH_6.50_1.xtc,700.0,0.2999022
6.50,pH_6.50pH_6.50_1.xtc,800.0,0.3597218
6.50,pH_6.50pH_6.50_1.xtc,900.0,0.267822
6.50,pH_6.50pH_6.50_1.xtc,1000.0,0.2341611
6.50,pH_6.50pH_6.50_2.xtc,0.0,0.2341611
6.50,pH_6.50pH_6.50_2.xtc,100.0,0.2959543
6.50,pH_6.50pH_6.50_2.xtc,200.0,0.2661329
6.50,pH_6.50pH_6.50_2.xtc,300.0,0.2878426
6.50,pH_6.50pH_6.50_2.xtc,400.0,0.2631014
6.50,pH_6.50pH_6.50_2.xtc,500.0,0.225216
6.50,pH_6.50pH_6.50_2.xtc,600.0,0.2807913
6.50,pH_6.50pH_6.50_2.xtc,700.0,0.2138046
6.50,pH_6.50pH_6.50_2.xtc,800.0,0.2568298
6.50,pH_6.50pH_6.50_2.xtc,900.0,0.2080095
6.50,pH_6.50pH_6.50_2.xtc,1000.0,0.2287257
6.50,pH_6.50pH_6.50_3.xtc,0.0,0.2287257
6.50,pH_6.50pH_6.50_3.xtc,100.0,0.2348176
6.50,pH_6.50pH_6.50_3.xtc,200.0,0.332197
6.50,pH_6.50pH_6.50_3.xtc,300.0,0.308798
6.50,pH_6.50pH_6.50_3.xtc,400.0,0.2540759
6.50,pH_6.50pH_6.50_3.xtc,500.0,0.1980711
6.50,pH_6.50pH_6.50_3.xtc,600.0,0.2141303
6.50,pH_6.50pH_6.50_3.xtc,700.0,0.1782252
6.50,pH_6.50pH_6.50_3.xtc,800.0,0.1742496
6.50,pH_6.50pH_6.50_3.xtc,900.0,0.1520756
6.50,pH_6.50pH_6.50_3.xtc,1000.0,0.0005034
6.50,pH_6.50pH_6.50_4.xtc,0.0,0.0005034
6.50,pH_6.50pH_6.50_4.xtc,100.0,0.1279141
6.50,pH_6.50pH_6.50_4.xtc,200.0,0.1999058
6.50,pH_6.50pH_6.50_4.xtc,300.0,0.1633547
6.50,pH_6.50pH_6.50_4.xtc,400.0,0.1580198
6.50,pH_6.50pH_6.50_4.xtc,500.0,0.1478215
6.50,pH_6.50pH_6.50_4.xtc,600.0,0.1467177
6.50,pH_6.50pH_6.50_4.xtc,700.0,0.2055702
6.50,pH_6.50pH_6.50_4.xtc,800.0,0.1953689
6.50,pH_6.50pH_6.50_4.xtc,900.0,0.2047235
6.50,pH_6.50pH_6.50_4.xtc,1000.0,0.1648996
6.50,pH_6.50pH_6.50_5.xtc,0.0,0.1648996
6.50,pH_6.50pH_6.50_5.xtc,100.0,0.2063089
6.50,pH_6.50pH_6.50_5.xtc,200.0,0.2983427
6.50,pH_6.50pH_6.50_5.xtc,300.0,0.2483386
6.50,pH_6.50pH_6.50_5.xtc,400.0,0.2429089
6.50,pH_6.50pH_6.50_5.xtc,500.0,0.256143
6.50,pH_6.50pH_6.50_5.xtc,600.0,0.2543995
6.50,pH_6.50pH_6.50_5.xtc,700.0,0.2486545
6.50,pH_6.50pH_6.50_5.xtc,800.0,0.2018916
6.50,pH_6.50pH_6.50_5.xtc,900.0,0.2086518
6.50,pH_6.50pH_6.50_5.xtc,1000.0,0.1963507
6.50,pH_6.50pH_6.50_6.xtc,0.0,0.1963507
6.50,pH_6.50pH_6.50_6.xtc,100.0,0.2234659
6.50,pH_6.50pH_6.50_6.xtc,200.0,0.2079228
6.50,pH_6.50pH_6.50_6.xtc,300.0,0.2230453
6.50,pH_6.50pH_6.50_6.xtc,400.0,0.2405833
6.50,pH_6.50pH_6.50_6.xtc,500.0,0.192716
6.50,pH_6.50pH_6.50_6.xtc,600.0,0.2740435
6.50,pH_6.50pH_6.50_6.xtc,700.0,0.3036574
6.50,pH_6.50pH_6.50_6.xtc,800.0,0.2085939
6.50,pH_6.50pH_6.50_6.xtc,900.0,0.2098994
6.50,pH_6.50pH_6.50_6.xtc,1000.0,0.2899604
6.50,pH_6.50pH_6.50_7.xtc,0.0,0.2899604
6.50,pH_6.50pH_6.50_7.xtc,100.0,0.2750534
6.50,pH_6.50pH_6.50_7.xtc,200.0,0.2538406
6.50,pH_6.50pH_6.50_7.xtc,300.0,0.3063328
6.50,pH_6.50pH_6.50_7.xtc,400.0,0.2622054
6.50,pH_6.50pH_6.50_7.xtc,500.0,0.2960547
6.50,pH_6.50pH_6.50_7.xtc,600.0,0.2427016
6.50,pH_6.50pH_6.50_7.xtc,700.0,0.2286555
6.50,pH_6.50pH_6.50_7.xtc,800.0,0.2578461
6.50,pH_6.50pH_6.50_7.xtc,900.0,0.2313132
6.50,pH_6.50pH_6.50_7.xtc,1000.0,0.2417432
6.50,pH_6.50pH_6.50_8.xtc,0.0,0.2417432
6.50,pH_6.50pH_6.50_8.xtc,100.0,0.2725987
6.50,pH_6.50pH_6.50_8.xtc,200.0,0.2436916
6.50,pH_6.50pH_6.50_8.xtc,300.0,0.2655611
6.50,pH_6.50pH_6.50_8.xtc,400.0,0.3265269
6.50,pH_6.50pH_6.50_8.xtc,500.0,0.3238966
6.50,pH_6.50pH_6.50_8.xtc,600.0,0.2524968
6.50,pH_6.50pH_6.50_8.xtc,700.0,0.2456786
6.50,pH_6.50pH_6.50_8.xtc,800.0,0.2280522
6.50,pH_6.50pH_6.50_8.xtc,900.0,0.3188688
6.50,pH_6.50pH_6.50_8.xtc,1000.0,0.2986627
6.50,pH_6.50pH_6.50_9.xtc,0.0,0.2986627
6.50,pH_6.50pH_6.50_9.xtc,100.0,0.2488663
6.50,pH_6.50pH_6.50_9.xtc,200.0,0.3512512
6.50,pH_6.50pH_6.50_9.xtc,300.0,0.2880556
6.50,pH_6.50pH_6.50_9.xtc,400.0,0.2793507
6.50,pH_6.50pH_6.50_9.xtc,500.0,0.3054573
6.50,pH_6.50pH_6.50_9.xtc,600.0,0.2924099
6.50,pH_6.50pH_6.50_9.xtc,700.0,0.4296963
6.50,pH_6.50pH_6.50_9.xtc,800.0,0.3958931
6.50,pH_6.50pH_6.50_9.xtc,900.0,0.3426714
6.50,pH_6.50pH_6.50_9.xtc,1000.0,0.2123137
6.50,pH_6.50pH_6.50_10.xtc,0.0,0.2123137
6.50,pH_6.50pH_6.50_10.xtc,100.0,0.2197408
6.50,pH_6.50pH_6.50_10.xtc,200.0,0.2723546
6.50,pH_6.50pH_6.50_10.xtc,300.0,0.239836
6.50,pH_6.50pH_6.50_10.xtc,400.0,0.2465264
6.50,pH_6.50pH_6.50_10.xtc,500.0,0.2684098
6.50,pH_6.50pH_6.50_10.xtc,600.0,0.3523982
6.50,pH_6.50pH_6.50_10.xtc,700.0,0.2408551
6.50,pH_6.50pH_6.50_10.xtc,800.0,0.2840124
6.50,pH_6.50pH_6.50_10.xtc,900.0,0.2512179
6.50,pH_6.50pH_6.50_10.xtc,1000.0,0.2346808
6.50,pH_6.50pH_6.50_11.xtc,0.0,0.2346808
6.50,pH_6.50pH_6.50_11.xtc,100.0,0.3555807
6.50,pH_6.50pH_6.50_11.xtc,200.0,0.2184508
6.50,pH_6.50pH_6.50_11.xtc,300.0,0.2313813
6.50,pH_6.50pH_6.50_11.xtc,400.0,0.2441507
6.50,pH_6.50pH_6.50_11.xtc,500.0,0.303249
6.50,pH_6.50pH_6.50_11.xtc,600.0,0.2701356
6.50,pH_6.50pH_6.50_11.xtc,700.0,0.2134273
6.50,pH_6.50pH_6.50_11.xtc,800.0,0.2628953
6.50,pH_6.50pH_6.50_11.xtc,900.0,0.2190404
6.50,pH_6.50pH_6.50_11.xtc,1000.0,0.2968076
6.50,pH_6.50pH_6.50_12.xtc,0.0,0.2968076
6.50,pH_6.50pH_6.50_12.xtc,100.0,0.3306894
6.50,pH_6.50pH_6.50_12.xtc,200.0,0.3513607
6.50,pH_6.50pH_6.50_12.xtc,300.0,0.354599
6.50,pH_6.50pH_6.50_12.xtc,400.0,0.2604673
6.50,pH_6.50pH_6.50_12.xtc,500.0,0.2889164
6.50,pH_6.50pH_6.50_12.xtc,600.0,0.2713266
6.50,pH_6.50pH_6.50_12.xtc,700.0,0.2510254
6.50,pH_6.50pH_6.50_12.xtc,800.0,0.285715
6.50,pH_6.50pH_6.50_12.xtc,900.0,0.2335085
6.50,pH_6.50pH_6.50_12.xtc,1000.0,0.2095212
6.50,pH_6.50pH_6.50_13.xtc,0.0,0.2095212
6.50,pH_6.50pH_6.50_13.xtc,100.0,0.2020132
6.50,pH_6.50pH_6.50_13.xtc,200.0,0.2163607
6.50,pH_6.50pH_6.50_13.xtc,300.0,0.233417
6.50,pH_6.50pH_6.50_13.xtc,400.0,0.3029484
6.50,pH_6.50pH_6.50_13.xtc,500.0,0.3034749
6.50,pH_6.50pH_6.50_13.xtc,600.0,0.2423866
6.50,pH_6.50pH_6.50_13.xtc,700.0,0.2564195
6.50,pH_6.50pH_6.50_13.xtc,800.0,0.2600424
6.50,pH_6.50pH_6.50_13.xtc,900.0,0.2646114
6.50,pH_6.50pH_6.50_13.xtc,1000.0,0.1931275
6.50,pH_6.50pH_6.50_14.xtc,0.0,0.1931275
6.50,pH_6.50pH_6.50_14.xtc,100.0,0.2334167
6.50,pH_6.50pH_6.50_14.xtc,200.0,0.2720216
6.50,pH_6.50pH_6.50_14.xtc,300.0,0.3048249
6.50,pH_6.50pH_6.50_14.xtc,400.0,0.2624781
6.50,pH_6.50pH_6.50_14.xtc,500.0,0.2528434
6.50,pH_6.50pH_6.50_14.xtc,600.0,0.297074
6.50,pH_6.50pH_6.50_14.xtc,700.0,0.2760542
6.50,pH_6.50pH_6.50_14.xtc,800.0,0.3460089
