pH,xtc_file,avg_hbonds
6.50,pH_6.50pH_6.50_1.xtc,147.0909090909091
6.50,pH_6.50pH_6.50_2.xtc,149.63636363636363
6.50,pH_6.50pH_6.50_3.xtc,149.54545454545453
6.50,pH_6.50pH_6.50_4.xtc,148.8181818181818
6.50,pH_6.50pH_6.50_5.xtc,150.1818181818182
6.50,pH_6.50pH_6.50_6.xtc,155.45454545454547
6.50,pH_6.50pH_6.50_7.xtc,154.63636363636363
6.50,pH_6.50pH_6.50_8.xtc,156.45454545454547
6.50,pH_6.50pH_6.50_9.xtc,154.1818181818182
6.50,pH_6.50pH_6.50_10.xtc,156.54545454545453
6.50,pH_6.50pH_6.50_11.xtc,155.63636363636363
6.50,pH_6.50pH_6.50_12.xtc,155.36363636363637
6.50,pH_6.50pH_6.50_13.xtc,153.9090909090909
6.50,pH_6.50pH_6.50_14.xtc,151.0909090909091
6.50,pH_6.50pH_6.50_15.xtc,147.1818181818182
6.50,pH_6.50pH_6.50_16.xtc,147.63636363636363
6.50,pH_6.50pH_6.50_17.xtc,151.54545454545453
6.50,pH_6.50pH_6.50_18.xtc,150.63636363636363
6.50,pH_6.50pH_6.50_19.xtc,148.54545454545453
6.50,pH_6.50pH_6.50_20.xtc,149.63636363636363
7.00,pH_7.00pH_7.00_1.xtc,150.36363636363637
7.00,pH_7.00pH_7.00_2.xtc,150.0
7.00,pH_7.00pH_7.00_3.xtc,149.27272727272728
7.00,pH_7.00pH_7.00_4.xtc,149.63636363636363
7.00,pH_7.00pH_7.00_5.xtc,148.8181818181818
7.00,pH_7.00pH_7.00_6.xtc,147.63636363636363
7.00,pH_7.00pH_7.00_7.xtc,150.45454545454547
7.00,pH_7.00pH_7.00_8.xtc,145.0909090909091
7.00,pH_7.00pH_7.00_9.xtc,148.0909090909091
7.00,pH_7.00pH_7.00_10.xtc,144.36363636363637
7.00,pH_7.00pH_7.00_11.xtc,147.0
7.00,pH_7.00pH_7.00_12.xtc,148.0
7.00,pH_7.00pH_7.00_13.xtc,150.54545454545453
7.00,pH_7.00pH_7.00_14.xtc,151.72727272727272
7.00,pH_7.00pH_7.00_15.xtc,149.9090909090909
7.00,pH_7.00pH_7.00_16.xtc,151.72727272727272
7.00,pH_7.00pH_7.00_17.xtc,150.36363636363637
7.00,pH_7.00pH_7.00_18.xtc,156.9090909090909
7.00,pH_7.00pH_7.00_19.xtc,154.1818181818182
7.00,pH_7.00pH_7.00_20.xtc,154.1818181818182
7.50,pH_7.50pH_7.50_1.xtc,144.36363636363637
7.50,pH_7.50pH_7.50_2.xtc,139.72727272727272
7.50,pH_7.50pH_7.50_3.xtc,140.36363636363637
7.50,pH_7.50pH_7.50_4.xtc,142.36363636363637
7.50,pH_7.50pH_7.50_5.xtc,147.54545454545453
7.50,pH_7.50pH_7.50_6.xtc,145.27272727272728
7.50,pH_7.50pH_7.50_7.xtc,141.72727272727272
7.50,pH_7.50pH_7.50_8.xtc,151.72727272727272
7.50,pH_7.50pH_7.50_9.xtc,149.45454545454547
7.50,pH_7.50pH_7.50_10.xtc,152.72727272727272
7.50,pH_7.50pH_7.50_11.xtc,153.63636363636363
7.50,pH_7.50pH_7.50_12.xtc,152.72727272727272
7.50,pH_7.50pH_7.50_13.xtc,152.8181818181818
7.50,pH_7.50pH_7.50_14.xtc,150.72727272727272
7.50,pH_7.50pH_7.50_15.xtc,152.45454545454547
7.50,pH_7.50pH_7.50_16.xtc,152.0
7.50,pH_7.50pH_7.50_17.xtc,148.27272727272728
7.50,pH_7.50pH_7.50_18.xtc,148.45454545454547
7.50,pH_7.50pH_7.50_19.xtc,150.0909090909091
7.50,pH_7.50pH_7.50_20.xtc,153.1818181818182
8.00,pH_8.00pH_8.00_1.xtc,150.1818181818182
8.00,pH_8.00pH_8.00_2.xtc,146.72727272727272
8.00,pH_8.00pH_8.00_3.xtc,148.54545454545453
8.00,pH_8.00pH_8.00_4.xtc,146.36363636363637
8.00,pH_8.00pH_8.00_5.xtc,152.36363636363637
8.00,pH_8.00pH_8.00_6.xtc,152.27272727272728
8.00,pH_8.00pH_8.00_7.xtc,146.72727272727272
8.00,pH_8.00pH_8.00_8.xtc,147.0909090909091
8.00,pH_8.00pH_8.00_9.xtc,146.72727272727272
8.00,pH_8.00pH_8.00_10.xtc,146.1818181818182
8.00,pH_8.00pH_8.00_11.xtc,147.0
8.00,pH_8.00pH_8.00_12.xtc,148.72727272727272
8.00,pH_8.00pH_8.00_13.xtc,151.27272727272728
8.00,pH_8.00pH_8.00_14.xtc,148.72727272727272
8.00,pH_8.00pH_8.00_15.xtc,153.54545454545453
8.00,pH_8.00pH_8.00_16.xtc,155.9090909090909
8.00,pH_8.00pH_8.00_17.xtc,153.72727272727272
8.00,pH_8.00pH_8.00_18.xtc,155.36363636363637
8.00,pH_8.00pH_8.00_19.xtc,159.27272727272728
8.00,pH_8.00pH_8.00_20.xtc,159.0
8.50,pH_8.50pH_8.50_1.xtc,147.72727272727272
8.50,pH_8.50pH_8.50_2.xtc,146.1818181818182
8.50,pH_8.50pH_8.50_3.xtc,145.9090909090909
8.50,pH_8.50pH_8.50_4.xtc,145.72727272727272
8.50,pH_8.50pH_8.50_5.xtc,146.54545454545453
8.50,pH_8.50pH_8.50_6.xtc,149.45454545454547
8.50,pH_8.50pH_8.50_7.xtc,145.0909090909091
8.50,pH_8.50pH_8.50_8.xtc,149.72727272727272
8.50,pH_8.50pH_8.50_9.xtc,147.8181818181818
8.50,pH_8.50pH_8.50_10.xtc,146.45454545454547
8.50,pH_8.50pH_8.50_11.xtc,143.54545454545453
8.50,pH_8.50pH_8.50_12.xtc,146.45454545454547
8.50,pH_8.50pH_8.50_13.xtc,149.27272727272728
8.50,pH_8.50pH_8.50_14.xtc,153.54545454545453
8.50,pH_8.50pH_8.50_15.xtc,157.0
8.50,pH_8.50pH_8.50_16.xtc,154.27272727272728
8.50,pH_8.50pH_8.50_17.xtc,153.36363636363637
8.50,pH_8.50pH_8.50_18.xtc,152.45454545454547
8.50,pH_8.50pH_8.50_19.xtc,156.27272727272728
8.50,pH_8.50pH_8.50_20.xtc,161.45454545454547
9.00,pH_9.00pH_9.00_1.xtc,151.72727272727272
9.00,pH_9.00pH_9.00_2.xtc,153.45454545454547
9.00,pH_9.00pH_9.00_3.xtc,149.9090909090909
9.00,pH_9.00pH_9.00_4.xtc,148.45454545454547
9.00,pH_9.00pH_9.00_5.xtc,147.9090909090909
9.00,pH_9.00pH_9.00_6.xtc,151.36363636363637
9.00,pH_9.00pH_9.00_7.xtc,153.72727272727272
9.00,pH_9.00pH_9.00_8.xtc,147.45454545454547
9.00,pH_9.00pH_9.00_9.xtc,146.0
9.00,pH_9.00pH_9.00_10.xtc,145.8181818181818
9.00,pH_9.00pH_9.00_11.xtc,146.54545454545453
9.00,pH_9.00pH_9.00_12.xtc,149.54545454545453
9.00,pH_9.00pH_9.00_13.xtc,150.0909090909091
9.00,pH_9.00pH_9.00_14.xtc,153.45454545454547
9.00,pH_9.00pH_9.00_15.xtc,152.36363636363637
9.00,pH_9.00pH_9.00_16.xtc,150.54545454545453
9.00,pH_9.00pH_9.00_17.xtc,149.54545454545453
9.00,pH_9.00pH_9.00_18.xtc,150.72727272727272
9.00,pH_9.00pH_9.00_19.xtc,151.0909090909091
9.00,pH_9.00pH_9.00_20.xtc,155.1818181818182
9.50,pH_9.50pH_9.50_1.xtc,147.0909090909091
9.50,pH_9.50pH_9.50_2.xtc,151.63636363636363
9.50,pH_9.50pH_9.50_3.xtc,152.1818181818182
9.50,pH_9.50pH_9.50_4.xtc,150.1818181818182
9.50,pH_9.50pH_9.50_5.xtc,147.9090909090909
9.50,pH_9.50pH_9.50_6.xtc,149.27272727272728
9.50,pH_9.50pH_9.50_7.xtc,149.45454545454547
9.50,pH_9.50pH_9.50_8.xtc,152.72727272727272
9.50,pH_9.50pH_9.50_9.xtc,154.72727272727272
9.50,pH_9.50pH_9.50_10.xtc,156.0909090909091
9.50,pH_9.50pH_9.50_11.xtc,154.54545454545453
9.50,pH_9.50pH_9.50_12.xtc,154.9090909090909
9.50,pH_9.50pH_9.50_13.xtc,156.27272727272728
9.50,pH_9.50pH_9.50_14.xtc,160.63636363636363
9.50,pH_9.50pH_9.50_15.xtc,158.1818181818182
9.50,pH_9.50pH_9.50_16.xtc,161.54545454545453
9.50,pH_9.50pH_9.50_17.xtc,160.45454545454547
9.50,pH_9.50pH_9.50_18.xtc,155.36363636363637
9.50,pH_9.50pH_9.50_19.xtc,149.63636363636363
9.50,pH_9.50pH_9.50_20.xtc,154.27272727272728
10.00,pH_10.00pH_10.00_1.xtc,147.36363636363637
10.00,pH_10.00pH_10.00_2.xtc,150.0
10.00,pH_10.00pH_10.00_3.xtc,153.0909090909091
10.00,pH_10.00pH_10.00_4.xtc,150.36363636363637
10.00,pH_10.00pH_10.00_5.xtc,154.0
10.00,pH_10.00pH_10.00_6.xtc,149.45454545454547
10.00,pH_10.00pH_10.00_7.xtc,146.9090909090909
10.00,pH_10.00pH_10.00_8.xtc,153.63636363636363
10.00,pH_10.00pH_10.00_9.xtc,152.1818181818182
10.00,pH_10.00pH_10.00_10.xtc,158.36363636363637
10.00,pH_10.00pH_10.00_11.xtc,157.1818181818182
10.00,pH_10.00pH_10.00_12.xtc,156.36363636363637
10.00,pH_10.00pH_10.00_13.xtc,158.72727272727272
10.00,pH_10.00pH_10.00_14.xtc,156.0
10.00,pH_10.00pH_10.00_15.xtc,159.9090909090909
10.00,pH_10.00pH_10.00_16.xtc,159.0
10.00,pH_10.00pH_10.00_17.xtc,163.27272727272728
10.00,pH_10.00pH_10.00_18.xtc,167.0
10.00,pH_10.00pH_10.00_19.xtc,164.27272727272728
10.00,pH_10.00pH_10.00_20.xtc,162.36363636363637
10.50,pH_10.50pH_10.50_1.xtc,148.0909090909091
10.50,pH_10.50pH_10.50_2.xtc,152.9090909090909
10.50,pH_10.50pH_10.50_3.xtc,151.54545454545453
10.50,pH_10.50pH_10.50_4.xtc,151.0909090909091
10.50,pH_10.50pH_10.50_5.xtc,154.8181818181818
10.50,pH_10.50pH_10.50_6.xtc,156.36363636363637
10.50,pH_10.50pH_10.50_7.xtc,155.36363636363637
10.50,pH_10.50pH_10.50_8.xtc,159.0
10.50,pH_10.50pH_10.50_9.xtc,158.36363636363637
10.50,pH_10.50pH_10.50_10.xtc,161.8181818181818
10.50,pH_10.50pH_10.50_11.xtc,159.63636363636363
10.50,pH_10.50pH_10.50_12.xtc,159.45454545454547
10.50,pH_10.50pH_10.50_13.xtc,157.54545454545453
10.50,pH_10.50pH_10.50_14.xtc,155.8181818181818
10.50,pH_10.50pH_10.50_15.xtc,152.45454545454547
10.50,pH_10.50pH_10.50_16.xtc,152.1818181818182
10.50,pH_10.50pH_10.50_17.xtc,149.63636363636363
10.50,pH_10.50pH_10.50_18.xtc,149.63636363636363
10.50,pH_10.50pH_10.50_19.xtc,147.45454545454547
10.50,pH_10.50pH_10.50_20.xtc,147.72727272727272
