pH,xtc_file,time_ns,rmsd_nm
6.50,pH_6.50pH_6.50_1.xtc,0.0,0.3834811
6.50,pH_6.50pH_6.50_1.xtc,100.0,0.299475
6.50,pH_6.50pH_6.50_1.xtc,200.0,0.3453506
6.50,pH_6.50pH_6.50_1.xtc,300.0,0.3323101
6.50,pH_6.50pH_6.50_1.xtc,400.0,0.3819023
6.50,pH_6.50pH_6.50_1.xtc,500.0,0.4074537
6.50,pH_6.50pH_6.50_1.xtc,600.0,0.3899927
6.50,pH_6.50pH_6.50_1.xtc,700.0,0.3944809
6.50,pH_6.50pH_6.50_1.xtc,800.0,0.4326066
6.50,pH_6.50pH_6.50_1.xtc,900.0,0.4655699
6.50,pH_6.50pH_6.50_1.xtc,1000.0,0.41532
6.50,pH_6.50pH_6.50_2.xtc,0.0,0.41532
6.50,pH_6.50pH_6.50_2.xtc,100.0,0.3958825
6.50,pH_6.50pH_6.50_2.xtc,200.0,0.4573366
6.50,pH_6.50pH_6.50_2.xtc,300.0,0.4436333
6.50,pH_6.50pH_6.50_2.xtc,400.0,0.4490718
6.50,pH_6.50pH_6.50_2.xtc,500.0,0.4522095
6.50,pH_6.50pH_6.50_2.xtc,600.0,0.4342741
6.50,pH_6.50pH_6.50_2.xtc,700.0,0.4305142
6.50,pH_6.50pH_6.50_2.xtc,800.0,0.408272
6.50,pH_6.50pH_6.50_2.xtc,900.0,0.4225022
6.50,pH_6.50pH_6.50_2.xtc,1000.0,0.4802799
6.50,pH_6.50pH_6.50_3.xtc,0.0,0.4802799
6.50,pH_6.50pH_6.50_3.xtc,100.0,0.5672179
6.50,pH_6.50pH_6.50_3.xtc,200.0,0.5381086
6.50,pH_6.50pH_6.50_3.xtc,300.0,0.4622974
6.50,pH_6.50pH_6.50_3.xtc,400.0,0.4610651
6.50,pH_6.50pH_6.50_3.xtc,500.0,0.4114269
6.50,pH_6.50pH_6.50_3.xtc,600.0,0.4704616
6.50,pH_6.50pH_6.50_3.xtc,700.0,0.3829032
6.50,pH_6.50pH_6.50_3.xtc,800.0,0.3134791
6.50,pH_6.50pH_6.50_3.xtc,900.0,0.4052665
6.50,pH_6.50pH_6.50_3.xtc,1000.0,0.4435011
6.50,pH_6.50pH_6.50_4.xtc,0.0,0.4435011
6.50,pH_6.50pH_6.50_4.xtc,100.0,0.4309801
6.50,pH_6.50pH_6.50_4.xtc,200.0,0.3808637
6.50,pH_6.50pH_6.50_4.xtc,300.0,0.390751
6.50,pH_6.50pH_6.50_4.xtc,400.0,0.3518705
6.50,pH_6.50pH_6.50_4.xtc,500.0,0.4045482
6.50,pH_6.50pH_6.50_4.xtc,600.0,0.4051273
6.50,pH_6.50pH_6.50_4.xtc,700.0,0.3685203
6.50,pH_6.50pH_6.50_4.xtc,800.0,0.3284233
6.50,pH_6.50pH_6.50_4.xtc,900.0,0.3258472
6.50,pH_6.50pH_6.50_4.xtc,1000.0,0.4256879
6.50,pH_6.50pH_6.50_5.xtc,0.0,0.4256879
6.50,pH_6.50pH_6.50_5.xtc,100.0,0.3600995
6.50,pH_6.50pH_6.50_5.xtc,200.0,0.3914545
6.50,pH_6.50pH_6.50_5.xtc,300.0,0.398328
6.50,pH_6.50pH_6.50_5.xtc,400.0,0.4434939
6.50,pH_6.50pH_6.50_5.xtc,500.0,0.4066569
6.50,pH_6.50pH_6.50_5.xtc,600.0,0.4265462
6.50,pH_6.50pH_6.50_5.xtc,700.0,0.4563072
6.50,pH_6.50pH_6.50_5.xtc,800.0,0.4188634
6.50,pH_6.50pH_6.50_5.xtc,900.0,0.3771341
6.50,pH_6.50pH_6.50_5.xtc,1000.0,0.4402844
6.50,pH_6.50pH_6.50_6.xtc,0.0,0.4402844
6.50,pH_6.50pH_6.50_6.xtc,100.0,0.4473072
6.50,pH_6.50pH_6.50_6.xtc,200.0,0.4369661
6.50,pH_6.50pH_6.50_6.xtc,300.0,0.4011719
6.50,pH_6.50pH_6.50_6.xtc,400.0,0.3628258
6.50,pH_6.50pH_6.50_6.xtc,500.0,0.3995712
6.50,pH_6.50pH_6.50_6.xtc,600.0,0.3435274
6.50,pH_6.50pH_6.50_6.xtc,700.0,0.3080431
6.50,pH_6.50pH_6.50_6.xtc,800.0,0.3189254
6.50,pH_6.50pH_6.50_6.xtc,900.0,0.2616987
6.50,pH_6.50pH_6.50_6.xtc,1000.0,0.2577793
6.50,pH_6.50pH_6.50_7.xtc,0.0,0.2577793
6.50,pH_6.50pH_6.50_7.xtc,100.0,0.2550458
6.50,pH_6.50pH_6.50_7.xtc,200.0,0.2493612
6.50,pH_6.50pH_6.50_7.xtc,300.0,0.2794927
6.50,pH_6.50pH_6.50_7.xtc,400.0,0.3484314
6.50,pH_6.50pH_6.50_7.xtc,500.0,0.3249035
6.50,pH_6.50pH_6.50_7.xtc,600.0,0.2866342
6.50,pH_6.50pH_6.50_7.xtc,700.0,0.3294246
6.50,pH_6.50pH_6.50_7.xtc,800.0,0.3079235
6.50,pH_6.50pH_6.50_7.xtc,900.0,0.2734274
6.50,pH_6.50pH_6.50_7.xtc,1000.0,0.2904232
6.50,pH_6.50pH_6.50_8.xtc,0.0,0.2904232
6.50,pH_6.50pH_6.50_8.xtc,100.0,0.2704837
6.50,pH_6.50pH_6.50_8.xtc,200.0,0.2041059
6.50,pH_6.50pH_6.50_8.xtc,300.0,0.2469717
6.50,pH_6.50pH_6.50_8.xtc,400.0,0.3076043
6.50,pH_6.50pH_6.50_8.xtc,500.0,0.2799281
6.50,pH_6.50pH_6.50_8.xtc,600.0,0.2192792
6.50,pH_6.50pH_6.50_8.xtc,700.0,0.2432094
6.50,pH_6.50pH_6.50_8.xtc,800.0,0.1841583
6.50,pH_6.50pH_6.50_8.xtc,900.0,0.1354949
6.50,pH_6.50pH_6.50_8.xtc,1000.0,0.0005034
6.50,pH_6.50pH_6.50_9.xtc,0.0,0.0005034
6.50,pH_6.50pH_6.50_9.xtc,100.0,0.1371872
6.50,pH_6.50pH_6.50_9.xtc,200.0,0.2301008
6.50,pH_6.50pH_6.50_9.xtc,300.0,0.2162964
6.50,pH_6.50pH_6.50_9.xtc,400.0,0.2435716
